Plate Map,Well,MoleculeID,Volume,Concentration,Unit,Well X,Well Y
SP40014,M13,D053-0069,10,10,m,13,13
SP40014,N13,D064-0284,10,10,m,13,14
SP40014,O13,D081-0003,10,10,m,13,15
SP40014,P13,D150-0037,10,10,m,13,16
SP40014,A14,1935-0139,10,10,m,14,1
SP40014,B14,3046-8908,10,10,m,14,2
SP40014,C14,3606-0201,10,10,m,14,3
SP40014,D14,4466-0212,10,10,m,14,4
SP40014,E14,5008-0033,10,10,m,14,5
SP40014,F14,6603-0053,10,10,m,14,6
SP40014,G14,C304-2066,10,10,m,14,7
SP40014,H14,C660-1008,10,10,m,14,8
SP40014,I14,C685-0071,10,10,m,14,9
SP40014,J14,C849-0892,10,10,m,14,10
SP40014,K14,C918-0276,10,10,m,14,11
SP40014,L14,D014-0004,10,10,m,14,12
SP40014,M14,D053-0070,10,10,m,14,13
SP40014,N14,D064-0381,10,10,m,14,14
SP40014,O14,D093-0037,10,10,m,14,15
SP40014,P14,D151-0323,10,10,m,14,16
SP40014,A15,1910-5333,10,10,m,15,1
SP40014,B15,2921-0648,10,10,m,15,2
SP40014,C15,3970-0822,10,10,m,15,3
SP40014,D15,4587-0420,10,10,m,15,4
SP40014,E15,5408-0856,10,10,m,15,5
SP40014,F15,6526-0840,10,10,m,15,6
SP40014,G15,C301-6071,10,10,m,15,7
SP40014,H15,C660-0622,10,10,m,15,8
SP40014,I15,C700-1460,10,10,m,15,9
SP40014,J15,C857-0321,10,10,m,15,10
SP40014,K15,C925-0461,10,10,m,15,11
SP40014,L15,D014-0049,10,10,m,15,12
SP40014,M15,D053-0099,10,10,m,15,13
SP40014,N15,D064-0211,10,10,m,15,14
SP40014,O15,D101-0344,10,10,m,15,15
SP40014,P15,D151-0850,10,10,m,15,16
SP40014,A16,1778-2814,10,10,m,16,1
SP40014,B16,3232-0493,10,10,m,16,2
SP40014,C16,3970-0858,10,10,m,16,3
SP40014,D16,4477-0101,10,10,m,16,4
SP40014,E16,5339-0052,10,10,m,16,5
SP40014,F16,6652-0767,10,10,m,16,6
SP40014,G16,C597-0031,10,10,m,16,7
SP40014,H16,C728-0257,10,10,m,16,8
SP40014,I16,C700-1461,10,10,m,16,9
SP40014,J16,C799-0052,10,10,m,16,10
SP40014,K16,C999-0342,10,10,m,16,11
SP40014,L16,D034-0003,10,10,m,16,12
SP40014,M16,D053-0152,10,10,m,16,13
SP40014,N16,D064-0269,10,10,m,16,14
SP40014,O16,D109-0260,10,10,m,16,15
SP40014,P16,D151-0875,10,10,m,16,16
SP40014,A17,1935-0111,10,10,m,17,1
SP40014,B17,3112-5217,10,10,m,17,2
SP40014,C17,3807-5676,10,10,m,17,3
SP40014,D17,4408-0537,10,10,m,17,4
SP40014,E17,5267-0639,10,10,m,17,5
SP40014,F17,6665-1011,10,10,m,17,6
SP40014,G17,C593-0679,10,10,m,17,7
SP40014,H17,C733-0373,10,10,m,17,8
SP40014,I17,C700-1487,10,10,m,17,9
SP40014,J17,C850-0581,10,10,m,17,10
SP40014,K17,C999-0375,10,10,m,17,11
SP40014,L17,D012-0079,10,10,m,17,12
SP40014,M17,D058-0133,10,10,m,17,13
SP40014,N17,D069-0371,10,10,m,17,14
SP40014,O17,D112-0018,10,10,m,17,15
SP40014,P17,D151-0243,10,10,m,17,16
SP40014,A18,1988-0088,10,10,m,18,1
SP40014,B18,3447-0080,10,10,m,18,2
SP40014,C18,3807-3901,10,10,m,18,3
SP40014,D18,4469-0003,10,10,m,18,4
SP40014,E18,5402-0409,10,10,m,18,5
SP40014,F18,6526-0841,10,10,m,18,6
SP40014,G18,C594-0052,10,10,m,18,7
SP40014,H18,C733-0103,10,10,m,18,8
SP40014,I18,C698-0436,10,10,m,18,9
SP40014,J18,C849-0052,10,10,m,18,10
SP40014,K18,C925-0439,10,10,m,18,11
SP40014,L18,D034-0008,10,10,m,18,12
SP40014,M18,D053-0154,10,10,m,18,13
SP40014,N18,D073-0071,10,10,m,18,14
SP40014,O18,D112-0100,10,10,m,18,15
SP40014,P18,D165-0302,10,10,m,18,16
SP40014,A19,1988-1470,10,10,m,19,1
SP40014,B19,3311-0081,10,10,m,19,2
SP40014,C19,4138-0191,10,10,m,19,3
SP40014,D19,4586-0828,10,10,m,19,4
SP40014,E19,5408-0742,10,10,m,19,5
SP40014,F19,7398-1623,10,10,m,19,6
SP40014,G19,C607-0839,10,10,m,19,7
SP40014,H19,C735-0026,10,10,m,19,8
SP40014,I19,C700-1329,10,10,m,19,9
SP40014,J19,C849-0388,10,10,m,19,10
SP40014,K19,D011-1078,10,10,m,19,11
SP40014,L19,D036-1716,10,10,m,19,12
SP40014,M19,D054-0055,10,10,m,19,13
SP40014,N19,D071-0028,10,10,m,19,14
SP40014,O19,D101-0408,10,10,m,19,15
SP40014,P19,D174-0265,10,10,m,19,16
SP40014,A20,2292-0671,10,10,m,20,1
SP40014,B20,3346-2003,10,10,m,20,2
SP40014,C20,4094-0097,10,10,m,20,3
SP40014,D20,4550-6090,10,10,m,20,4
SP40014,E20,5575-0052,10,10,m,20,5
SP40014,F20,7706-0235,10,10,m,20,6
SP40014,G20,C604-0046,10,10,m,20,7
SP40014,H20,C735-0027,10,10,m,20,8
SP40014,I20,C700-1468,10,10,m,20,9
SP40014,J20,C849-0007,10,10,m,20,10
SP40014,K20,D007-0428,10,10,m,20,11
SP40014,L20,D038-0777,10,10,m,20,12
SP40014,M20,D060-0170,10,10,m,20,13
SP40014,N20,D071-0072,10,10,m,20,14
SP40014,O20,D107-0313,10,10,m,20,15
