96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 3,C10,Amagata Dilution 01,SP90104,F19,110208,110208,1.5625,m,19,6
,Plate 4,C10,Amagata Dilution 01,SP90104,F20,908169,908169,1.5625,m,20,6
,Plate 3,C11,Amagata Dilution 01,SP90104,F21,130208,130208,1.5625,m,21,6
,Plate 4,C11,Amagata Dilution 01,SP90104,F22,90934,90934,1.5625,m,22,6
,Plate 1,D02,Amagata Dilution 01,SP90104,G03,130111_20%_15M,130111_20%_15M,0.78125,m,3,7
,Plate 2,D02,Amagata Dilution 01,SP90104,G04,130111_20%_16M,130111_20%_16M,0.78125,m,4,7
,Plate 1,D03,Amagata Dilution 01,SP90104,G05,130111_20%_17M,130111_20%_17M,0.78125,m,5,7
,Plate 2,D03,Amagata Dilution 01,SP90104,G06,130111_80%_21M,130111_80%_21M,0.78125,m,6,7
,Plate 1,D04,Amagata Dilution 01,SP90104,G07,130111_80%_22M,130111_80%_22M,0.78125,m,7,7
,Plate 2,D04,Amagata Dilution 01,SP90104,G08,130111_100%_21M,130111_100%_21M,0.78125,m,8,7
,Plate 1,D05,Amagata Dilution 01,SP90104,G09,130111_100%_22M,130111_100%_22M,0.78125,m,9,7
,Plate 2,D05,Amagata Dilution 01,SP90104,G10,130111_40%_19M,130111_40%_19M,0.78125,m,10,7
,Plate 1,D06,Amagata Dilution 01,SP90104,G11,130111_40%_20M,130111_40%_20M,0.78125,m,11,7
,Plate 2,D06,Amagata Dilution 01,SP90104,G12,110962A,110962A,0.78125,m,12,7
,Plate 2,D07,Amagata Dilution 01,SP90104,G14,110921,110921,0.78125,m,14,7
,Plate 1,D09,Amagata Dilution 01,SP90104,G17,130123,130123,0.78125,m,17,7
,Plate 2,D09,Amagata Dilution 01,SP90104,G18,111617,111617,0.78125,m,18,7
,Plate 1,D10,Amagata Dilution 01,SP90104,G19,110208,110208,0.78125,m,19,7
,Plate 2,D10,Amagata Dilution 01,SP90104,G20,908169,908169,0.78125,m,20,7
,Plate 1,D11,Amagata Dilution 01,SP90104,G21,130208,130208,0.78125,m,21,7
,Plate 2,D11,Amagata Dilution 01,SP90104,G22,90934,90934,0.78125,m,22,7
,Plate 3,D02,Amagata Dilution 01,SP90104,H03,130111_20%_15M,130111_20%_15M,0.390625,m,3,8
,Plate 4,D02,Amagata Dilution 01,SP90104,H04,130111_20%_16M,130111_20%_16M,0.390625,m,4,8
,Plate 3,D03,Amagata Dilution 01,SP90104,H05,130111_20%_17M,130111_20%_17M,0.390625,m,5,8
,Plate 4,D03,Amagata Dilution 01,SP90104,H06,130111_80%_21M,130111_80%_21M,0.390625,m,6,8
,Plate 3,D04,Amagata Dilution 01,SP90104,H07,130111_80%_22M,130111_80%_22M,0.390625,m,7,8
,Plate 4,D04,Amagata Dilution 01,SP90104,H08,130111_100%_21M,130111_100%_21M,0.390625,m,8,8
,Plate 3,D05,Amagata Dilution 01,SP90104,H09,130111_100%_22M,130111_100%_22M,0.390625,m,9,8
,Plate 4,D05,Amagata Dilution 01,SP90104,H10,130111_40%_19M,130111_40%_19M,0.390625,m,10,8
,Plate 3,D06,Amagata Dilution 01,SP90104,H11,130111_40%_20M,130111_40%_20M,0.390625,m,11,8
,Plate 4,D06,Amagata Dilution 01,SP90104,H12,110962A,110962A,0.390625,m,12,8
,Plate 4,D07,Amagata Dilution 01,SP90104,H14,110921,110921,0.390625,m,14,8
,Plate 3,D09,Amagata Dilution 01,SP90104,H17,130123,130123,0.390625,m,17,8
