Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,F22,CSA-BmtToLeu,CSA-BmtToLeu,0.46875,m,22,6,2.34375
Lokey-JAS-01 & AF01,SP40179,G03,AF.51-07,AF.51-07,-1,m,3,7
Lokey-JAS-01 & AF01,SP40179,G05,1NMe3,1NMe3,0.234375,m,5,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G06,L2T,L2T,0.234375,m,6,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G07,L3T,L3T,0.234375,m,7,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G08,L4T,L4T,0.234375,m,8,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G09,L3T',L3T',0.234375,m,9,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G10,PaAc,PaAc,0.234375,m,10,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G11,JLT5,JLT5,0.234375,m,11,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G12,JLT6,JLT6,0.234375,m,12,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G13,JLT7,JLT7,0.234375,m,13,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G14,Src707,Src707,0.234375,m,14,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G15,Src997,Src997,0.234375,m,15,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G16,L2N,L2N,0.234375,m,16,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G17,L3N,L3N,0.234375,m,17,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G18,Y6N,Y6N,0.234375,m,18,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G19,L2L3N,L2L3N,0.234375,m,19,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G20,L3Y6N,L3Y6N,0.234375,m,20,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G21,L2L3Y6N,L2L3Y6N,0.234375,m,21,7,1.171875
Lokey-JAS-01 & AF01,SP40179,G22,CSA-BmtToLeu,CSA-BmtToLeu,0.234375,m,22,7,1.171875
Lokey-JAS-01 & AF01,SP40179,H03,AF.51-08,AF.51-08,-1,m,3,8
Lokey-JAS-01 & AF01,SP40179,H05,1NMe3,1NMe3,0.1171875,m,5,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H06,L2T,L2T,0.1171875,m,6,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H07,L3T,L3T,0.1171875,m,7,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H08,L4T,L4T,0.1171875,m,8,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H09,L3T',L3T',0.1171875,m,9,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H10,PaAc,PaAc,0.1171875,m,10,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H11,JLT5,JLT5,0.1171875,m,11,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H12,JLT6,JLT6,0.1171875,m,12,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H13,JLT7,JLT7,0.1171875,m,13,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H14,Src707,Src707,0.1171875,m,14,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H15,Src997,Src997,0.1171875,m,15,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H16,L2N,L2N,0.1171875,m,16,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H17,L3N,L3N,0.1171875,m,17,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H18,Y6N,Y6N,0.1171875,m,18,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H19,L2L3N,L2L3N,0.1171875,m,19,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H20,L3Y6N,L3Y6N,0.1171875,m,20,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H21,L2L3Y6N,L2L3Y6N,0.1171875,m,21,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,H22,CSA-BmtToLeu,CSA-BmtToLeu,0.1171875,m,22,8,0.5859375
Lokey-JAS-01 & AF01,SP40179,I03,AF.51-09,AF.51-09,-1,m,3,9
Lokey-JAS-01 & AF01,SP40179,I05,Y6Morph,Y6Morph,15,m,5,9,75
Lokey-JAS-01 & AF01,SP40179,I06,Y6TFMB,Y6TFMB,15,m,6,9,75
Lokey-JAS-01 & AF01,SP40179,I07,Y6Pyr,Y6Pyr,15,m,7,9,75
Lokey-JAS-01 & AF01,SP40179,I08,Y6Iso,Y6Iso,15,m,8,9,75
Lokey-JAS-01 & AF01,SP40179,I09,PhePA,PhePA,15,m,9,9,75
Lokey-JAS-01 & AF01,SP40179,I10,PhePB,PhePB,15,m,10,9,75
Lokey-JAS-01 & AF01,SP40179,I11,PhePC,PhePC,15,m,11,9,75
Lokey-JAS-01 & AF01,SP40179,I12,PhePD,PhePD,15,m,12,9,75
Lokey-JAS-01 & AF01,SP40179,I13,PhePAL,PhePAL,15,m,13,9,75
Lokey-JAS-01 & AF01,SP40179,I14,PhePBL,PhePBL,15,m,14,9,75
Lokey-JAS-01 & AF01,SP40179,I15,PhePCL,PhePCL,15,m,15,9,75
Lokey-JAS-01 & AF01,SP40179,I16,PhePDL,PhePDL,15,m,16,9,75
Lokey-JAS-01 & AF01,SP40179,I17,Antamanide,Antamanide,15,m,17,9,75
Lokey-JAS-01 & AF01,SP40179,I18,Cylindrocyclin,Cylindrocyclin,15,m,18,9,75
Lokey-JAS-01 & AF01,SP40179,I19,Cordyheptapeptide B,Cordyheptapeptide B,15,m,19,9,75
Lokey-JAS-01 & AF01,SP40179,I20,Aspergillicin D,Aspergillicin D,15,m,20,9,75
Lokey-JAS-01 & AF01,SP40179,I21,SpecialK B,SpecialK B,15,m,21,9,75
Lokey-JAS-01 & AF01,SP40179,J03,AF.51-10,AF.51-10,-1,m,3,10
Lokey-JAS-01 & AF01,SP40179,J05,Y6Morph,Y6Morph,7.5,m,5,10,37.5
Lokey-JAS-01 & AF01,SP40179,J06,Y6TFMB,Y6TFMB,7.5,m,6,10,37.5
