96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Biosortia_Musk2014.09.B_10,3,C06,Biosortia_Musk2014.09.B_10,SP20262,F11,C-2080-O-35,C-2080-O-35,-1,m,11,6
HHDilMay2015,4,C06,HHDilMay2015,SP20262,F12,1867F16-8-1_0.03125,1867F16-8-1_0.03125,-1,m,12,6
Biosortia_Musk2014.09.B_10,3,C07,Biosortia_Musk2014.09.B_10,SP20262,F13,C-2080-O-43,C-2080-O-43,-1,m,13,6
HHDilMay2015,4,C07,HHDilMay2015,SP20262,F14,1867F16-8-3_0.03125,1867F16-8-3_0.03125,-1,m,14,6
Biosortia_Musk2014.09.B_10,3,C08,Biosortia_Musk2014.09.B_10,SP20262,F15,C-2080-O-51,C-2080-O-51,-1,m,15,6
HHDilMay2015,4,C08,HHDilMay2015,SP20262,F16,1867F16-8-6_0.03125,1867F16-8-6_0.03125,-1,m,16,6
Biosortia_Musk2014.09.B_10,3,C09,Biosortia_Musk2014.09.B_10,SP20262,F17,C-2080-O-61,C-2080-O-61,-1,m,17,6
HHDilMay2015,4,C09,HHDilMay2015,SP20262,F18,1867F16-8-9_4.6875,1867F16-8-9_4.6875,-1,m,18,6
Biosortia_Musk2014.09.B_10,3,C10,Biosortia_Musk2014.09.B_10,SP20262,F19,C-2080-O-69,C-2080-O-69,-1,m,19,6
HHDilMay2015,4,C10,HHDilMay2015,SP20262,F20,1867F16-9-1_31.25,1867F16-9-1_31.25,-1,m,20,6
Biosortia_Musk2014.09.B_10,3,C11,Biosortia_Musk2014.09.B_10,SP20262,F21,C-2080-O-77,C-2080-O-77,-1,m,21,6
HHDilMay2015,4,C11,HHDilMay2015,SP20262,F22,1867F16-9-3_6.25,1867F16-9-3_6.25,-1,m,22,6
Biosortia_Musk2014.09.A_10 ,1,D02,Biosortia_Musk2014.09.A_10 ,SP20262,G03,C-2080-D-03,C-2080-D-03,-1,m,3,7
HHDilMay2015,2,D02,HHDilMay2015,SP20262,G04,1867F16-10.1_10.9375,1867F16-10.1_10.9375,-1,m,4,7
Biosortia_Musk2014.09.A_10 ,1,D03,Biosortia_Musk2014.09.A_10 ,SP20262,G05,C-2080-D-11,C-2080-D-11,-1,m,5,7
HHDilMay2015,2,D03,HHDilMay2015,SP20262,G06,1867F16-10.3_6.25,1867F16-10.3_6.25,-1,m,6,7
Biosortia_Musk2014.09.A_10 ,1,D04,Biosortia_Musk2014.09.A_10 ,SP20262,G07,C-2080-D-19,C-2080-D-19,-1,m,7,7
HHDilMay2015,2,D04,HHDilMay2015,SP20262,G08,1867F16-10.5_6.25,1867F16-10.5_6.25,-1,m,8,7
Biosortia_Musk2014.09.A_10 ,1,D05,Biosortia_Musk2014.09.A_10 ,SP20262,G09,C-2080-D-27,C-2080-D-27,-1,m,9,7
HHDilMay2015,2,D05,HHDilMay2015,SP20262,G10,1867F16-10-910.9375,1867F16-10-910.9375,-1,m,10,7
Biosortia_Musk2014.09.A_10 ,1,D06,Biosortia_Musk2014.09.A_10 ,SP20262,G11,C-2080-D-35,C-2080-D-35,-1,m,11,7
HHDilMay2015,2,D06,HHDilMay2015,SP20262,G12,1867F16-8-1_0.015625,1867F16-8-1_0.015625,-1,m,12,7
Biosortia_Musk2014.09.A_10 ,1,D07,Biosortia_Musk2014.09.A_10 ,SP20262,G13,C-2080-D-43,C-2080-D-43,-1,m,13,7
HHDilMay2015,2,D07,HHDilMay2015,SP20262,G14,1867F16-8-3_0.015625,1867F16-8-3_0.015625,-1,m,14,7
Biosortia_Musk2014.09.A_10 ,1,D08,Biosortia_Musk2014.09.A_10 ,SP20262,G15,C-2080-D-51,C-2080-D-51,-1,m,15,7
HHDilMay2015,2,D08,HHDilMay2015,SP20262,G16,1867F16-8-6_0.015625,1867F16-8-6_0.015625,-1,m,16,7
Biosortia_Musk2014.09.A_10 ,1,D09,Biosortia_Musk2014.09.A_10 ,SP20262,G17,C-2080-D-59_60,C-2080-D-59_60,-1,m,17,7
HHDilMay2015,2,D09,HHDilMay2015,SP20262,G18,1867F16-8-9_2.34375,1867F16-8-9_2.34375,-1,m,18,7
Biosortia_Musk2014.09.A_10 ,1,D10,Biosortia_Musk2014.09.A_10 ,SP20262,G19,C-2080-Z-02,C-2080-Z-02,-1,m,19,7
HHDilMay2015,2,D10,HHDilMay2015,SP20262,G20,1867F16-9-1_15.625,1867F16-9-1_15.625,-1,m,20,7
Biosortia_Musk2014.09.A_10 ,1,D11,Biosortia_Musk2014.09.A_10 ,SP20262,G21,C-2080-Z-12,C-2080-Z-12,-1,m,21,7
HHDilMay2015,2,D11,HHDilMay2015,SP20262,G22,1867F16-9-3_3.125,1867F16-9-3_3.125,-1,m,22,7
Biosortia_Musk2014.09.B_10,3,D02,Biosortia_Musk2014.09.B_10,SP20262,H03,C-2080-O-03,C-2080-O-03,-1,m,3,8
HHDilMay2015,4,D02,HHDilMay2015,SP20262,H04,1867F16-10.1_5.46875,1867F16-10.1_5.46875,-1,m,4,8
Biosortia_Musk2014.09.B_10,3,D03,Biosortia_Musk2014.09.B_10,SP20262,H05,C-2080-O-12,C-2080-O-12,-1,m,5,8
HHDilMay2015,4,D03,HHDilMay2015,SP20262,H06,1867F16-10.3_3.125,1867F16-10.3_3.125,-1,m,6,8
Biosortia_Musk2014.09.B_10,3,D04,Biosortia_Musk2014.09.B_10,SP20262,H07,C-2080-O-20,C-2080-O-20,-1,m,7,8
HHDilMay2015,4,D04,HHDilMay2015,SP20262,H08,1867F16-10.5_3.125,1867F16-10.5_3.125,-1,m,8,8
Biosortia_Musk2014.09.B_10,3,D05,Biosortia_Musk2014.09.B_10,SP20262,H09,C-2080-O-28,C-2080-O-28,-1,m,9,8
HHDilMay2015,4,D05,HHDilMay2015,SP20262,H10,1867F16-10-95.46875,1867F16-10-95.46875,-1,m,10,8
Biosortia_Musk2014.09.B_10,3,D06,Biosortia_Musk2014.09.B_10,SP20262,H11,C-2080-O-36,C-2080-O-36,-1,m,11,8
HHDilMay2015,4,D06,HHDilMay2015,SP20262,H12,1867F16-8-1_0.0078125,1867F16-8-1_0.0078125,-1,m,12,8
Biosortia_Musk2014.09.B_10,3,D07,Biosortia_Musk2014.09.B_10,SP20262,H13,C-2080-O-44,C-2080-O-44,-1,m,13,8
HHDilMay2015,4,D07,HHDilMay2015,SP20262,H14,1867F16-8-3_0.0078125,1867F16-8-3_0.0078125,-1,m,14,8
Biosortia_Musk2014.09.B_10,3,D08,Biosortia_Musk2014.09.B_10,SP20262,H15,C-2080-O-52,C-2080-O-52,-1,m,15,8
HHDilMay2015,4,D08,HHDilMay2015,SP20262,H16,1867F16-8-6_0.0078125,1867F16-8-6_0.0078125,-1,m,16,8
Biosortia_Musk2014.09.B_10,3,D09,Biosortia_Musk2014.09.B_10,SP20262,H17,C-2080-O-62,C-2080-O-62,-1,m,17,8
HHDilMay2015,4,D09,HHDilMay2015,SP20262,H18,1867F16-8-9_1.171875,1867F16-8-9_1.171875,-1,m,18,8
Biosortia_Musk2014.09.B_10,3,D10,Biosortia_Musk2014.09.B_10,SP20262,H19,C-2080-O-70,C-2080-O-70,-1,m,19,8
HHDilMay2015,4,D10,HHDilMay2015,SP20262,H20,1867F16-9-1_7.8125,1867F16-9-1_7.8125,-1,m,20,8
Biosortia_Musk2014.09.B_10,3,D11,Biosortia_Musk2014.09.B_10,SP20262,H21,C-2080-O-78,C-2080-O-78,-1,m,21,8
HHDilMay2015,4,D11,HHDilMay2015,SP20262,H22,1867F16-9-3_1.5625,1867F16-9-3_1.5625,-1,m,22,8
Biosortia_Musk2014.09.A_10 ,1,E02,Biosortia_Musk2014.09.A_10 ,SP20262,I03,C-2080-D-04,C-2080-D-04,-1,m,3,9
HHDilMay2015,2,E02,HHDilMay2015,SP20262,I04,1867F16-10.2_400,1867F16-10.2_400,-1,m,4,9
Biosortia_Musk2014.09.A_10 ,1,E03,Biosortia_Musk2014.09.A_10 ,SP20262,I05,C-2080-D-12,C-2080-D-12,-1,m,5,9
HHDilMay2015,2,E03,HHDilMay2015,SP20262,I06,1867F16-10.4_1,1867F16-10.4_1,-1,m,6,9
Biosortia_Musk2014.09.A_10 ,1,E04,Biosortia_Musk2014.09.A_10 ,SP20262,I07,C-2080-D-20,C-2080-D-20,-1,m,7,9
HHDilMay2015,2,E04,HHDilMay2015,SP20262,I08,1867F16-10.8_800,1867F16-10.8_800,-1,m,8,9
Biosortia_Musk2014.09.A_10 ,1,E05,Biosortia_Musk2014.09.A_10 ,SP20262,I09,C-2080-D-28,C-2080-D-28,-1,m,9,9
HHDilMay2015,2,E05,HHDilMay2015,SP20262,I10,1867F16-10.10_300,1867F16-10.10_300,-1,m,10,9
Biosortia_Musk2014.09.A_10 ,1,E06,Biosortia_Musk2014.09.A_10 ,SP20262,I11,C-2080-D-36,C-2080-D-36,-1,m,11,9
