384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,H16,BL_I_160,BL_I_160,0.244140625,m
BL_I_157_2ndGen,SP20231,H17,BL-I-156-483,BL-I-156-483,0.48828125,m
BL_I_157_2ndGen,SP20231,H18,BL-I-156-373,BL-I-156-373,0.48828125,m
BL_I_157_2ndGen,SP20231,H19,BL-I-153,BL-I-153,0.48828125,m
BL_I_157_2ndGen,SP20231,H20,BL-I-145,BL-I-145,0.48828125,m
BL_I_157_2ndGen,SP20231,H21,BL-I-135,BL-I-135,0.48828125,m
BL_I_157_2ndGen,SP20231,H22,BL-I-150,BL-I-150,0.48828125,m
BL_I_157_2ndGen,SP20231,I03,BL-I-130,BL-I-130,0.48828125,m
BL_I_157_2ndGen,SP20231,I04,BL-I-131,BL-I-131,0.48828125,m
BL_I_157_2ndGen,SP20231,I05,BL-I-132,BL-I-132,0.48828125,m
BL_I_157_2ndGen,SP20231,I06,BL-I-152,BL-I-152,0.244140625,m
BL_I_157_2ndGen,SP20231,I07,BL-I-155,BL-I-155,0.48828125,m
BL_I_157_2ndGen,SP20231,I08,BL-I-108,BL-I-108,0.48828125,m
BL_I_157_2ndGen,SP20231,I09,BL-I-136,BL-I-136,0.48828125,m
BL_I_157_2ndGen,SP20231,I10,BL-I-142,BL-I-142,0.48828125,m
BL_I_157_2ndGen,SP20231,I11,BL-I-151,BL-I-151,0.48828125,m
BL_I_157_2ndGen,SP20231,I12,BL-I-148,BL-I-148,0.48828125,m
BL_I_157_2ndGen,SP20231,I13,BL_I_171,BL_I_171,0.037353516,m
BL_I_157_2ndGen,SP20231,I14,BL_I_162,BL_I_162,0.244140625,m
BL_I_157_2ndGen,SP20231,I15,BL_I_161,BL_I_161,0.244140625,m
BL_I_157_2ndGen,SP20231,I16,BL_I_160,BL_I_160,0.48828125,m
BL_I_157_2ndGen,SP20231,I17,BL-I-156-483,BL-I-156-483,0.9765625,m
BL_I_157_2ndGen,SP20231,I18,BL-I-156-373,BL-I-156-373,0.9765625,m
BL_I_157_2ndGen,SP20231,I19,BL-I-153,BL-I-153,0.9765625,m
BL_I_157_2ndGen,SP20231,I20,BL-I-145,BL-I-145,0.9765625,m
BL_I_157_2ndGen,SP20231,I21,BL-I-135,BL-I-135,0.9765625,m
BL_I_157_2ndGen,SP20231,I22,BL-I-150,BL-I-150,0.9765625,m
BL_I_157_2ndGen,SP20231,J03,BL-I-130,BL-I-130,0.244140625,m
BL_I_157_2ndGen,SP20231,J04,BL-I-131,BL-I-131,0.244140625,m
BL_I_157_2ndGen,SP20231,J05,BL-I-132,BL-I-132,0.244140625,m
BL_I_157_2ndGen,SP20231,J06,BL-I-152,BL-I-152,0.122070313,m
BL_I_157_2ndGen,SP20231,J07,BL-I-155,BL-I-155,0.244140625,m
BL_I_157_2ndGen,SP20231,J08,BL-I-108,BL-I-108,0.244140625,m
BL_I_157_2ndGen,SP20231,J09,BL-I-136,BL-I-136,0.244140625,m
BL_I_157_2ndGen,SP20231,J10,BL-I-142,BL-I-142,0.244140625,m
BL_I_157_2ndGen,SP20231,J11,BL-I-151,BL-I-151,0.244140625,m
BL_I_157_2ndGen,SP20231,J12,BL-I-148,BL-I-148,0.244140625,m
BL_I_157_2ndGen,SP20231,J13,BL_I_171,BL_I_171,0.018676758,m
BL_I_157_2ndGen,SP20231,J14,BL_I_162,BL_I_162,0.48828125,m
BL_I_157_2ndGen,SP20231,J15,BL_I_161,BL_I_161,0.48828125,m
BL_I_157_2ndGen,SP20231,J16,BL_I_160,BL_I_160,0.9765625,m
BL_I_157_2ndGen,SP20231,J17,BL-I-156-483,BL-I-156-483,1.953125,m
BL_I_157_2ndGen,SP20231,J18,BL-I-156-373,BL-I-156-373,1.953125,m
BL_I_157_2ndGen,SP20231,J19,BL-I-153,BL-I-153,1.953125,m
BL_I_157_2ndGen,SP20231,J20,BL-I-145,BL-I-145,1.953125,m
BL_I_157_2ndGen,SP20231,J21,BL-I-135,BL-I-135,1.953125,m
BL_I_157_2ndGen,SP20231,J22,BL-I-150,BL-I-150,1.953125,m
BL_I_157_2ndGen,SP20231,K03,BL-I-130,BL-I-130,0.122070313,m
BL_I_157_2ndGen,SP20231,K04,BL-I-131,BL-I-131,0.122070313,m
BL_I_157_2ndGen,SP20231,K05,BL-I-132,BL-I-132,0.122070313,m
BL_I_157_2ndGen,SP20231,K06,BL-I-152,BL-I-152,0.061035156,m
BL_I_157_2ndGen,SP20231,K07,BL-I-155,BL-I-155,0.122070313,m
BL_I_157_2ndGen,SP20231,K08,BL-I-108,BL-I-108,0.122070313,m
BL_I_157_2ndGen,SP20231,K09,BL-I-136,BL-I-136,0.122070313,m
BL_I_157_2ndGen,SP20231,K10,BL-I-142,BL-I-142,0.122070313,m
BL_I_157_2ndGen,SP20231,K11,BL-I-151,BL-I-151,0.122070313,m
BL_I_157_2ndGen,SP20231,K12,BL-I-148,BL-I-148,0.122070313,m
BL_I_157_2ndGen,SP20231,K13,BL_I_171,BL_I_171,0.009338379,m
BL_I_157_2ndGen,SP20231,K14,BL_I_162,BL_I_162,0.9765625,m
BL_I_157_2ndGen,SP20231,K15,BL_I_161,BL_I_161,0.9765625,m
BL_I_157_2ndGen,SP20231,K16,BL_I_160,BL_I_160,1.953125,m
BL_I_157_2ndGen,SP20231,K17,BL-I-156-483,BL-I-156-483,3.90625,m
BL_I_157_2ndGen,SP20231,K18,BL-I-156-373,BL-I-156-373,3.90625,m
BL_I_157_2ndGen,SP20231,K19,BL-I-153,BL-I-153,3.90625,m
